codigoentidad,codigoconvocatoria,n_id_item,ruc_entidad,entidad,sector,entidad_departamento,entidad_distrito,entidad_provincia,fecha_convocatoria,modalidad,sistemacontratacion,tipoprocesoseleccion,proceso,descripcion_proceso,tipo_compra,moneda,monto_referencial_item,monto_referencial,n_item,descripcion_item,unidad_medida,cantidad,estadoitem,paquete,codigo_grupo,grupo,codigo_familia,familia,codigoclase,clase,codigocommodity,commodity,codigoitem,itemcubso,ultimo,codigoprocesoinicial,ueclasificacion,ubigeo,dominio,strata,tratamiento,medicamentos,insumos,suministros,año,fecha_convocatoria2,mes,tiempo,montoadj,fecha_consentimiento_bp,estadofin,codigosiaf,exito,categoria,version_cronograma,etapainicio,etapafin,fecha_inicial,fecha_final,tiempo_adj,fecha_consentimientobp,tiempo_consent,exito_consent,año_req,mes_req,dia_req,filtro_fechas,tipo_filtro,mes_req2,dia_req2,año_req2,fecha_req,inicio_estudiomdo,fin_estudiomdo,fecha_req2,tiempo_req_convoc,tiempo_req_convoc2,tiempo_estudiomdo,num21,antiguedad1,antiguedad2,postores,numlogis,ordimodal,ordireg,ordiclasif,lima,ratioar,precio,ln_precio,mes_convoc,mes_consent,mes_inicio,mes_fin,mes_adj,semana_req
010424,687988,2074511,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,20/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-38-2021-HRHD-1,ADQUISICION DE ORTOFTALDEHIDO 0.55% X 1 GALON,Por la Entidad,Soles,113022,113022,1,ORTOFTALDEHIDO 0.55% X 1 GAL,Unidad,378,Contratado,NO,42,"Equipos, accesorios y suministros médicos",28,Productos para esterilización médica,16,Soluciones desinfectantes y esterilización en frío,03,Desinfectante o esterilizante instrumental,00178356,ORTOFTALDEHIDO 0.55%,ULTIMO,634874,hospital,040101,sierra s,18,0,,1,1,2021,22300,01,2021_01,113022,22/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22300,22301,1,22302,2,1,2020,10,6,,,10,6,2020,22194,22236,22242,22194,106,106,6,0,5.818182,8,1,11,5,4,hospital,0,1,299,5.7004437,1,1,11,11,1,40
010424,688030,2074515,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,21/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-42-2021-HRHD-1,COMPRA DIRECTA DE PRUEBAS ANTIGENICAS Y SEROLOGICAS PARA DIAGNOSTICO DE COVID,Por la Entidad,Soles,210000,210000,1,PRUEBA RAPIDA COVID-19 IgG/IgM 
PRUEBA RAPIDA INMUNOCROMATOGRAFICA COVID-19 DETECTA ANTIGENO,Unidad,7000,Contratado,NO,41,"Equipo de laboratorio, medición, observación y comprobación",10,Equipo científico y de laboratorio,63,Productos para reacción en cadena de polimerasa PCR y reacción en cadena de la transcriptasa reversa de la polimerasa RT-PCR,04,Kits de cuantificación de ácido ribonucleico mensajero (ARNm) por reacción en cadena de la polimerasa (PCR),00384608,PRUEBA MOLECULAR DE AMPLIFICACION DE ACIDOS NUCLEICOS EN TIEMPO REAL PARA LA DETECCION CUALITATIVA MOLECULAR DE CORONAVIRUS SARS COV-2 (COVID19),ULTIMO,634877,hospital,040101,sierra s,18,0,,1,1,2021,22301,01,2021_01,210000,23/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22301,22302,1,22303,2,1,2020,12,6,,,12,6,2020,22255,22260,22266,22255,46,46,6,0,5.818182,8,1,11,5,4,hospital,0,1,30,3.4011974,1,1,12,12,1,49
200307,688041,2074727,20480780877,GOBIERNO REGIONAL DE AMAZONAS - UNIDAD EJECUTORA 404 - SALUD UTCUBAMBA,GOBIERNO REGIONAL,AMAZONAS,BAGUA GRANDE,UTCUBAMBA,20/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-8-2020-GR/RSU-1,ADQUISICION DE OXIGENO MEDICINAL PARA LA ATENCION DE LOS PACIENTES ASEGURADOS EN EL HOSPITAL DE APOYO I SANTIAGO APOSTOL Y ESTABLECIMIENTOS DE PRIMER NIVEL DE LA RED DE SALUD UTCUBAMBA,Por la Entidad,Soles,0,0,1,ADQUISICION DE OXIGENO MEDICINAL PARA LA ATENCION DE LOS PACIENTES ASEGURADOS EN EL HOSPITAL DE APOYO I SANTIAGO APOSTOL Y ESTABLECIMIENTOS DE PRIMER NIVEL DE LA RED DE SALUD UTCUBAMBA,M3,8997,Convocado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,17,Sistemas y dispositivos de entrega para terapia de oxígeno,01,Cilindros de gas médicos o dispositivos relacionados,00323264,OXIGENO GAS MEDICINAL X 1 m3,ULTIMO,634891,GR - red,010701,selva,11,0,,1,1,2021,22300,01,2021_01,,,,1350,0,insumos,1,Invitación,Adjudicación,22179,22179,,,,0,2020,8,1,,,8,1,2020,22128,22141,22146,22128,51,51,5,0,2,2,,2,5,1,GR - red,0,,,,9,,8,8,9,31
200062,688245,2075487,20162406052,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,GOBIERNO REGIONAL,ICA,ICA,ICA,22/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-2-2021-OEC-HRI-1,ADQUISICIÓN DE BOMBAS DE INFUSIÓN DE 02 CANALES,Por la Entidad,Soles,851000,851000,1,ADQUISICIÓN DE BOMBAS DE INFUSIÓN DE 02 CANALES,Unidad,74,Contratado,NO,42,"Equipos, accesorios y suministros médicos",22,Productos de administración por vía intravenosa y arterial,20,"Bombas de infusión intravenosa incluyendo a sus analizadores, sensores y accesorios",03,Bombas de infusión intravenosa de multicanales,00184292,BOMBA DE INFUSION DE DOBLE CANAL,ULTIMO,635201,hospital,110101,costa ce,2,1,,1,1,2021,22302,01,2021_01,851000,23/01/21,1,1052,1,insumos,1,Invitación,Adjudicación,22301,22302,1,22303,2,1,2021,1,18,,,1,18,2021,22298,22299,22300,22298,3,3,1,1,3.375,7,1,8,5,11,hospital,0,1,11500,9.3501024,1,1,1,1,1,3
010520,688252,2075314,20163833094,GOBIERNO REGIONAL DE LAMBAYEQUE-SALUD,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,22/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-83-2020-GR.LAM/GERESA-L-1,ADQUISICION DE VENTILADOR MECANICO CON MONITORIZACION AVANZADA PARA EL HOSPITAL DOCENTE LAS MERCEDES DE CHICLAYO IOARR 2485058,Por la Entidad,Soles,1222638,1222638,1,VENTILADOR MECÁNICO CON MONITORIZACIÓN AVANZADA,Unidad,6,Adjudicado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,22,Ventiladores y accesorios mecánicos de presión positiva,23,"Aparatos de respiración, accesorios y suministros",00185576,VENTILADOR VOLUMETRICO DE TRANSPORTE,ULTIMO,635128,GR - red,140101,costa no,3,0,,1,1,2021,22302,01,2021_01,1222638,26/01/21,1,860,1,insumos,1,Invitación,Adjudicación,22302,22305,3,22306,4,1,2020,3,17,,,3,17,2020,21991,22142,22144,21991,311,311,2,7,1.6363636,3,1,11,5,14,GR - red,0,1,203773,12.224762,1,1,8,8,1,11
200062,688265,2075464,20162406052,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,GOBIERNO REGIONAL,ICA,ICA,ICA,22/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-3-2021-OEC-RHI-1,ADQUISICIÓN DE MONITORES DE FUNCIONES VITALES DE 08 PARÁMETROS,Por la Entidad,Soles,1900000,1900000,1,ADQUISICIÓN DE MONITORES DE FUNCIONES VITALES DE 08 PARÁMETROS,Unidad,20,Contratado,NO,42,"Equipos, accesorios y suministros médicos",18,Productos para la evaluación y monitoreo del paciente,19,Unidades para monitoreo de cuidados intensivos y productos relacionados,04,Unidades o accesorios de signos vitales multiparámetros,00388353,MONITOR MULTIPARAMETRO DE  FUNCIONES VITALES DE 8 PARAMETROS,ULTIMO,635146,hospital,110101,costa ce,2,1,,1,1,2021,22302,01,2021_01,1900000,23/01/21,1,1052,1,insumos,1,Invitación,Adjudicación,22302,22302,0,22303,1,1,2021,1,18,,,1,18,2021,22298,22299,22301,22298,4,4,2,1,3.375,7,1,8,5,11,hospital,0,1,95000,11.461632,1,1,1,1,1,3
010424,688395,2075680,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,25/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-39-2020-HRHD-1,ADQUISICION DE MATERIAL MEDICO GUANTES EXAMEN Y GUANTES QUIRURGICO,Por la Entidad,Soles,199500,199500,1,GUANTE PARA EXAMEN DESCARTABLE TALLA M,Unidad,600000,Contratado,NO,42,"Equipos, accesorios y suministros médicos",13,Textiles e Indumentaria médica,22,Guantes médicos y accesorios,03,Guantes para procedimiento no quirúrgico o para examen médico,00045891,GUANTE PARA EXAMEN DESCARTABLE TALLA  M,ULTIMO,635359,hospital,040101,sierra s,18,0,,1,1,2021,22305,01,2021_01,199500,29/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22305,22307,2,22309,4,1,2020,11,13,,,11,13,2020,22232,22253,22263,22232,73,73,10,0,5.818182,8,2,11,5,4,hospital,0,1,.33250001,-1.1011155,1,1,12,12,1,46
010424,688395,2075681,20167251294,GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,GOBIERNO REGIONAL,AREQUIPA,AREQUIPA,AREQUIPA,25/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-39-2020-HRHD-1,ADQUISICION DE MATERIAL MEDICO GUANTES EXAMEN Y GUANTES QUIRURGICO,Por la Entidad,Soles,442750,442750,2,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº 7 1/2 (PAR),Unidad,350000,Contratado,NO,42,"Equipos, accesorios y suministros médicos",13,Textiles e Indumentaria médica,22,Guantes médicos y accesorios,05,Guantes quirúrgicos,00045899,GUANTE QUIRURGICO ESTERIL DESCARTABLE Nº 7 1/2,ULTIMO,635359,hospital,040101,sierra s,18,0,,1,1,2021,22305,01,2021_01,442750,28/01/21,1,767,1,insumos,1,Invitación,Adjudicación,22305,22307,2,22308,3,1,2020,11,13,,,11,13,2020,22232,22253,22263,22232,73,73,10,0,5.818182,8,1,11,5,4,hospital,0,1,1.265,.23507212,1,1,12,12,1,46
200062,688421,2075779,20162406052,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,GOBIERNO REGIONAL,ICA,ICA,ICA,25/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-9-2021-OEC-RHI-1,ADQUISICIÓN DE VENTILADORES MECANICOS ADULTOS PEDIATRICOS,Por la Entidad,Soles,1424000,1424000,1,ADQUISICIÓN DE VENTILADORES MECANICOS ADULTOS PEDIATRICOS,Unidad,8,Contratado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,22,Ventiladores y accesorios mecánicos de presión positiva,05,Ventiladores de cuidado intensivo pediátrico o de adultos,00254131,"VENTILADOR MECANICO CONVENCIONAL REGULABLE A ADULTO , PEDIATRICO Y NEONATAL",ULTIMO,635434,hospital,110101,costa ce,2,1,,1,1,2021,22305,01,2021_01,1424000,03/02/21,1,1052,1,insumos,1,Invitación,Adjudicación,22305,22305,0,22314,9,1,,,,1,Fecha de estudio de mercado menor a la fecha de requerimiento,1,20,2021,,,,22300,,5,,1,3.375,7,1,8,5,11,hospital,0,1,178000,12.089539,1,2,,,1,
200062,688455,2075730,20162406052,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,GOBIERNO REGIONAL,ICA,ICA,ICA,25/01/21,Procedimiento,Suma alzada,Contratación Directa,DIRECTA-PROC-4-2021-OEC-RHI-1,ADQUISICIÓN DE ELECTROCARDIÓGRAFOS DE 03 CANALES,Por la Entidad,Soles,77500,77500,1,ADQUISICIÓN DE ELECTROCARDIÓGRAFOS DE 03 CANALES,Unidad,5,Contratado,NO,42,"Equipos, accesorios y suministros médicos",18,Productos para la evaluación y monitoreo del paciente,17,Unidades de electrocardiograma ECG y productos relacionados,01,Unidades de electrocardiograma (ECG),00184549,ELECTROCARDIOGRAFO,ULTIMO,635392,hospital,110101,costa ce,2,1,,1,1,2021,22305,01,2021_01,77500,04/02/21,1,1052,1,insumos,1,Invitación,Adjudicación,22305,22305,0,22315,10,1,2021,1,18,,,1,18,2021,22298,22299,22305,22298,7,7,6,1,3.375,7,1,8,5,11,hospital,0,1,15500,9.6485949,1,2,1,1,1,3
010607,688474,2075817,20171001065,GOBIERNO REGIONAL DE TUMBES - DIRECCION REGIONAL SALUD TUMBES,GOBIERNO REGIONAL,TUMBES,TUMBES,TUMBES,26/01/21,Procedimiento,Precios unitarios,Contratación Directa,DIRECTA-PROC-22-2020-DRST-1,"ADQUISICION DE EQUIPO DE OXIGENOTERAPIA, EN EL MARCO DEL D.U. N° 083-2020",Por la Entidad,Soles,104973,104973,1,"EQUIPO DE OXIGENOTERAPIA (01 CILINDRO DE 10 M3, 01 HUMIDIFICADOR, 01 MASCARA PARA OXIGENO MEDICINAL ADULTO-PEDIATRICO-NEONATAL, 01 JUEGO DE CANULAS Y CONECTORES, 1 NIPLE, 01 FLUJOMETRO, 01 MANOMETRO)",Unidad,30,Contratado,NO,42,"Equipos, accesorios y suministros médicos",27,Productos respiratorios y de reanimación y anestesia,17,Sistemas y dispositivos de entrega para terapia de oxígeno,01,Cilindros de gas médicos o dispositivos relacionados,00196107,OXIGENO GAS MEDICINAL X 10 m3,ULTIMO,635450,,,,,,,1,1,2021,22306,01,2021_01,104973,27/01/21,1,940,1,insumos,1,Invitación,Adjudicación,22181,22251,70,22307,126,1,,,,,,,,,,,,,,,,1,3.75,8,1,4,5,24,,0,1,3499.1001,8.1602612,9,1,,,12,
